TIME,TIME,DATE,TIMING,MONTH,DAY,HOUR,LOCATION,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS,LATITUDE,LONGITUDE,DAY_OF_WEEK,WEEKEND
2019-10-29 03:15:00-04:00,2019-10-29 03:15:00-04:00,2019-10-29,03:15:00,10,29,3,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 03:30:00-04:00,2019-10-29 03:30:00-04:00,2019-10-29,03:30:00,10,29,3,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 03:45:00-04:00,2019-10-29 03:45:00-04:00,2019-10-29,03:45:00,10,29,3,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 04:00:00-04:00,2019-10-29 04:00:00-04:00,2019-10-29,04:00:00,10,29,4,Campus_Dr_&_Presidential_Ave,0,0,1,0,0,38.985440,-76.954820,1,0
2019-10-29 04:15:00-04:00,2019-10-29 04:15:00-04:00,2019-10-29,04:15:00,10,29,4,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 04:30:00-04:00,2019-10-29 04:30:00-04:00,2019-10-29,04:30:00,10,29,4,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 04:45:00-04:00,2019-10-29 04:45:00-04:00,2019-10-29,04:45:00,10,29,4,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 05:00:00-04:00,2019-10-29 05:00:00-04:00,2019-10-29,05:00:00,10,29,5,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 05:15:00-04:00,2019-10-29 05:15:00-04:00,2019-10-29,05:15:00,10,29,5,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 05:30:00-04:00,2019-10-29 05:30:00-04:00,2019-10-29,05:30:00,10,29,5,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 05:45:00-04:00,2019-10-29 05:45:00-04:00,2019-10-29,05:45:00,10,29,5,Campus_Dr_&_Presidential_Ave,0,0,0,0,0,38.985440,-76.954820,1,0
2019-10-29 06:00:00-04:00,2019-10-29 06:00:00-04:00,2019-10-29,06:00:00,10,29,6,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,1,0
2019-10-29 06:15:00-04:00,2019-10-29 06:15:00-04:00,2019-10-29,06:15:00,10,29,6,Campus_Dr_&_Presidential_Ave,0,0,1,0,0,38.985440,-76.954820,1,0
2019-10-29 06:30:00-04:00,2019-10-29 06:30:00-04:00,2019-10-29,06:30:00,10,29,6,Campus_Dr_&_Presidential_Ave,0,0,1,0,0,38.985440,-76.954820,1,0
2019-10-29 06:45:00-04:00,2019-10-29 06:45:00-04:00,2019-10-29,06:45:00,10,29,6,Campus_Dr_&_Presidential_Ave,5,2,2,0,0,38.985440,-76.954820,1,0
2019-10-29 07:00:00-04:00,2019-10-29 07:00:00-04:00,2019-10-29,07:00:00,10,29,7,Campus_Dr_&_Presidential_Ave,0,0,18,0,0,38.985440,-76.954820,1,0
2019-10-29 07:15:00-04:00,2019-10-29 07:15:00-04:00,2019-10-29,07:15:00,10,29,7,Campus_Dr_&_Presidential_Ave,3,0,54,2,4,38.985440,-76.954820,1,0
2019-10-29 07:30:00-04:00,2019-10-29 07:30:00-04:00,2019-10-29,07:30:00,10,29,7,Campus_Dr_&_Presidential_Ave,11,0,102,3,6,38.985440,-76.954820,1,0
2019-10-29 07:45:00-04:00,2019-10-29 07:45:00-04:00,2019-10-29,07:45:00,10,29,7,Campus_Dr_&_Presidential_Ave,5,1,128,8,9,38.985440,-76.954820,1,0
